Study.Area,Region.Label,Area,Sample.Label,Effort,object,distance
LTExercise3,Default,1,Line 1,5,1,7.900000095
LTExercise3,Default,1,Line 1,5,2,10.19999981
LTExercise3,Default,1,Line 1,5,3,12.39999962
LTExercise3,Default,1,Line 1,5,4,3.799999952
LTExercise3,Default,1,Line 1,5,5,4.800000191
LTExercise3,Default,1,Line 1,5,6,8.5
LTExercise3,Default,1,Line 1,5,7,13.39999962
LTExercise3,Default,1,Line 1,5,8,5.800000191
LTExercise3,Default,1,Line 1,5,9,7.5
LTExercise3,Default,1,Line 1,5,10,11.5
LTExercise3,Default,1,Line 1,5,11,0.899999976
LTExercise3,Default,1,Line 1,5,12,9.199999809
LTExercise3,Default,1,Line 1,5,13,12.5
LTExercise3,Default,1,Line 1,5,14,6.099999905
LTExercise3,Default,1,Line 2,2,15,9.100000381
LTExercise3,Default,1,Line 2,2,16,6.400000095
LTExercise3,Default,1,Line 2,2,17,21.20000076
LTExercise3,Default,1,Line 3,6,18,3.799999952
LTExercise3,Default,1,Line 3,6,19,12.60000038
LTExercise3,Default,1,Line 3,6,20,4.699999809
LTExercise3,Default,1,Line 3,6,21,17.89999962
LTExercise3,Default,1,Line 3,6,22,14.5
LTExercise3,Default,1,Line 3,6,23,5.099999905
LTExercise3,Default,1,Line 3,6,24,4.199999809
LTExercise3,Default,1,Line 3,6,25,3.599999905
LTExercise3,Default,1,Line 4,4,26,11.19999981
LTExercise3,Default,1,Line 4,4,27,12.19999981
LTExercise3,Default,1,Line 4,4,28,1.799999952
LTExercise3,Default,1,Line 4,4,29,35.79999924
LTExercise3,Default,1,Line 4,4,30,2.599999905
LTExercise3,Default,1,Line 4,4,31,6.199999809
LTExercise3,Default,1,Line 4,4,32,9.699999809
LTExercise3,Default,1,Line 4,4,33,4
LTExercise3,Default,1,Line 4,4,34,9.699999809
LTExercise3,Default,1,Line 5,3,35,6.900000095
LTExercise3,Default,1,Line 5,3,36,5.099999905
LTExercise3,Default,1,Line 5,3,37,3.299999952
LTExercise3,Default,1,Line 6,1,38,6
LTExercise3,Default,1,Line 6,1,39,18.39999962
LTExercise3,Default,1,Line 6,1,40,3.799999952
LTExercise3,Default,1,Line 6,1,41,2.900000095
LTExercise3,Default,1,Line 7,4,42,3.299999952
LTExercise3,Default,1,Line 7,4,43,2.900000095
LTExercise3,Default,1,Line 7,4,44,3.700000048
LTExercise3,Default,1,Line 7,4,45,13.19999981
LTExercise3,Default,1,Line 7,4,46,1
LTExercise3,Default,1,Line 7,4,47,2.299999952
LTExercise3,Default,1,Line 7,4,48,13.39999962
LTExercise3,Default,1,Line 7,4,49,16.20000076
LTExercise3,Default,1,Line 7,4,50,3.799999952
LTExercise3,Default,1,Line 7,4,51,19.29999924
LTExercise3,Default,1,Line 7,4,52,11.10000038
LTExercise3,Default,1,Line 8,4,53,0.800000012
LTExercise3,Default,1,Line 8,4,54,1.5
LTExercise3,Default,1,Line 8,4,55,0.699999988
LTExercise3,Default,1,Line 8,4,56,10.19999981
LTExercise3,Default,1,Line 8,4,57,10
LTExercise3,Default,1,Line 8,4,58,0.600000024
LTExercise3,Default,1,Line 8,4,59,7.599999905
LTExercise3,Default,1,Line 8,4,60,4.400000095
LTExercise3,Default,1,Line 9,5,61,1
LTExercise3,Default,1,Line 9,5,62,1
LTExercise3,Default,1,Line 9,5,63,1.200000048
LTExercise3,Default,1,Line 9,5,64,4.599999905
LTExercise3,Default,1,Line 9,5,65,9.199999809
LTExercise3,Default,1,Line 9,5,66,15.80000019
