Region.Label,Area,Sample.Label,Effort,object,distance,size
Monaughty Forest,1472,1,240,1,28,1
Monaughty Forest,1472,1,240,2,17,1
Monaughty Forest,1472,1,240,3,15,1
Monaughty Forest,1472,1,240,4,14,1
Monaughty Forest,1472,1,240,5,18,1
Monaughty Forest,1472,1,240,6,0,1
Monaughty Forest,1472,1,240,7,38,1
Monaughty Forest,1472,1,240,8,6,1
Monaughty Forest,1472,1,240,9,50,1
Monaughty Forest,1472,1,240,10,65,1
Monaughty Forest,1472,1,240,11,75,1
Monaughty Forest,1472,1,240,12,1,1
Monaughty Forest,1472,1,240,13,70,1
Monaughty Forest,1472,1,240,14,28,1
Monaughty Forest,1472,1,240,15,40,1
Monaughty Forest,1472,1,240,16,40,1
Monaughty Forest,1472,1,240,17,40,1
Monaughty Forest,1472,1,240,18,15,1
Monaughty Forest,1472,1,240,19,40,1
Monaughty Forest,1472,1,240,20,30,1
Monaughty Forest,1472,1,240,21,5,1
Monaughty Forest,1472,1,240,22,55,1
Monaughty Forest,1472,1,240,23,60,1
Monaughty Forest,1472,1,240,24,40,1
Monaughty Forest,1472,1,240,25,24,1
Monaughty Forest,1472,1,240,26,30,1
Monaughty Forest,1472,1,240,27,0,1
Monaughty Forest,1472,1,240,28,50,1
Monaughty Forest,1472,1,240,29,55,1
Monaughty Forest,1472,1,240,30,10,1
Monaughty Forest,1472,1,240,31,40,1
Monaughty Forest,1472,1,240,32,10,1
Monaughty Forest,1472,1,240,33,30,1
Monaughty Forest,1472,1,240,34,34,1
Monaughty Forest,1472,1,240,35,24,1
Monaughty Forest,1472,1,240,36,30,1
Monaughty Forest,1472,1,240,37,15,1
Monaughty Forest,1472,1,240,38,20,1
Monaughty Forest,1472,1,240,39,14,1
Monaughty Forest,1472,1,240,40,48,1
Monaughty Forest,1472,1,240,41,0,1
Monaughty Forest,1472,1,240,42,30,1
Monaughty Forest,1472,1,240,43,2,1
Monaughty Forest,1472,1,240,44,52,1
Monaughty Forest,1472,1,240,45,11,1
Monaughty Forest,1472,1,240,46,48,1
Monaughty Forest,1472,1,240,47,28,1
Monaughty Forest,1472,1,240,48,38,1
Monaughty Forest,1472,1,240,49,25,1
Monaughty Forest,1472,1,240,50,35,1
Monaughty Forest,1472,1,240,51,45,1
Monaughty Forest,1472,1,240,52,0,1
Monaughty Forest,1472,1,240,53,16,1
Monaughty Forest,1472,1,240,54,12,1
Monaughty Forest,1472,1,240,55,2,1
Monaughty Forest,1472,1,240,56,14,1
Monaughty Forest,1472,1,240,57,12,1
Monaughty Forest,1472,1,240,58,24,1
Monaughty Forest,1472,1,240,59,70,1
Monaughty Forest,1472,1,240,60,50,1
Monaughty Forest,1472,1,240,61,49,1
Monaughty Forest,1472,1,240,62,40,1
Monaughty Forest,1472,1,240,63,80,1
Monaughty Forest,1472,1,240,64,18,1
Monaughty Forest,1472,1,240,65,27,1
Monaughty Forest,1472,1,240,66,30,1
Monaughty Forest,1472,1,240,67,30,1
Monaughty Forest,1472,1,240,68,60,1
Monaughty Forest,1472,1,240,69,58,1
Monaughty Forest,1472,1,240,70,14,1
Monaughty Forest,1472,1,240,71,0,1
Monaughty Forest,1472,1,240,72,56,1
Monaughty Forest,1472,1,240,73,40,1
Monaughty Forest,1472,1,240,74,19,1
Monaughty Forest,1472,1,240,75,21,1
Monaughty Forest,1472,1,240,76,0,1
Monaughty Forest,1472,1,240,77,38,1
Monaughty Forest,1472,1,240,78,20,1
Monaughty Forest,1472,1,240,79,28,1
Monaughty Forest,1472,1,240,80,30,1
Monaughty Forest,1472,1,240,81,20,1
Monaughty Forest,1472,1,240,82,16,1
Monaughty Forest,1472,1,240,83,0,1
Monaughty Forest,1472,1,240,84,69,1
Monaughty Forest,1472,1,240,85,40,1
Monaughty Forest,1472,1,240,86,46,1
Monaughty Forest,1472,1,240,87,50,1
Monaughty Forest,1472,1,240,88,40,1
Monaughty Forest,1472,1,240,89,70,1
Monaughty Forest,1472,1,240,90,67,1
Monaughty Forest,1472,1,240,91,28,1
Monaughty Forest,1472,1,240,92,12,1
Monaughty Forest,1472,1,240,93,12,1
Monaughty Forest,1472,1,240,94,22,1
Monaughty Forest,1472,1,240,95,40,1
Monaughty Forest,1472,1,240,96,48,1
Monaughty Forest,1472,1,240,97,48,1
Monaughty Forest,1472,1,240,98,15,1
Monaughty Forest,1472,1,240,99,12,1
Monaughty Forest,1472,1,240,100,0,1
Monaughty Forest,1472,1,240,101,15,1
Monaughty Forest,1472,1,240,102,20,1
Monaughty Forest,1472,1,240,103,17,1
Monaughty Forest,1472,1,240,104,30,1
Monaughty Forest,1472,1,240,105,30,1
Monaughty Forest,1472,1,240,106,32,1
Monaughty Forest,1472,1,240,107,48,1
Monaughty Forest,1472,1,240,108,20,1
Monaughty Forest,1472,1,240,109,10,1
Monaughty Forest,1472,1,240,110,20,1
Monaughty Forest,1472,1,240,111,42,1
Monaughty Forest,1472,1,240,112,30,1
