Study.Area,Region.Label,Area,Sample.Label,grouping,Effort,object,distance
Systematic_variance_2,Default,0.5,1,1,0.015,1,5
Systematic_variance_2,Default,0.5,1,1,0.015,2,8
Systematic_variance_2,Default,0.5,1,1,0.015,3,1
Systematic_variance_2,Default,0.5,1,1,0.015,4,5
Systematic_variance_2,Default,0.5,2,1,0.064,5,3
Systematic_variance_2,Default,0.5,2,1,0.064,6,3
Systematic_variance_2,Default,0.5,2,1,0.064,7,6
Systematic_variance_2,Default,0.5,2,1,0.064,8,2
Systematic_variance_2,Default,0.5,2,1,0.064,9,6
Systematic_variance_2,Default,0.5,2,1,0.064,10,0
Systematic_variance_2,Default,0.5,2,1,0.064,11,2
Systematic_variance_2,Default,0.5,2,1,0.064,12,5
Systematic_variance_2,Default,0.5,2,1,0.064,13,0
Systematic_variance_2,Default,0.5,2,1,0.064,14,3
Systematic_variance_2,Default,0.5,2,1,0.064,15,3
Systematic_variance_2,Default,0.5,3,2,0.113,16,2
Systematic_variance_2,Default,0.5,3,2,0.113,17,0
Systematic_variance_2,Default,0.5,3,2,0.113,18,7
Systematic_variance_2,Default,0.5,3,2,0.113,19,2
Systematic_variance_2,Default,0.5,3,2,0.113,20,4
Systematic_variance_2,Default,0.5,3,2,0.113,21,5
Systematic_variance_2,Default,0.5,3,2,0.113,22,6
Systematic_variance_2,Default,0.5,3,2,0.113,23,4
Systematic_variance_2,Default,0.5,3,2,0.113,24,3
Systematic_variance_2,Default,0.5,3,2,0.113,25,0
Systematic_variance_2,Default,0.5,3,2,0.113,26,5
Systematic_variance_2,Default,0.5,3,2,0.113,27,0
Systematic_variance_2,Default,0.5,3,2,0.113,28,1
Systematic_variance_2,Default,0.5,3,2,0.113,29,4
Systematic_variance_2,Default,0.5,3,2,0.113,30,0
Systematic_variance_2,Default,0.5,3,2,0.113,31,1
Systematic_variance_2,Default,0.5,3,2,0.113,32,5
Systematic_variance_2,Default,0.5,3,2,0.113,33,1
Systematic_variance_2,Default,0.5,3,2,0.113,34,2
Systematic_variance_2,Default,0.5,3,2,0.113,35,3
Systematic_variance_2,Default,0.5,3,2,0.113,36,5
Systematic_variance_2,Default,0.5,3,2,0.113,37,5
Systematic_variance_2,Default,0.5,4,2,0.162,38,5
Systematic_variance_2,Default,0.5,4,2,0.162,39,5
Systematic_variance_2,Default,0.5,4,2,0.162,40,2
Systematic_variance_2,Default,0.5,4,2,0.162,41,1
Systematic_variance_2,Default,0.5,4,2,0.162,42,0
Systematic_variance_2,Default,0.5,4,2,0.162,43,2
Systematic_variance_2,Default,0.5,4,2,0.162,44,6
Systematic_variance_2,Default,0.5,4,2,0.162,45,5
Systematic_variance_2,Default,0.5,4,2,0.162,46,7
Systematic_variance_2,Default,0.5,4,2,0.162,47,2
Systematic_variance_2,Default,0.5,4,2,0.162,48,6
Systematic_variance_2,Default,0.5,4,2,0.162,49,3
Systematic_variance_2,Default,0.5,4,2,0.162,50,4
Systematic_variance_2,Default,0.5,4,2,0.162,51,2
Systematic_variance_2,Default,0.5,4,2,0.162,52,3
Systematic_variance_2,Default,0.5,4,2,0.162,53,5
Systematic_variance_2,Default,0.5,4,2,0.162,54,2
Systematic_variance_2,Default,0.5,4,2,0.162,55,0
Systematic_variance_2,Default,0.5,4,2,0.162,56,4
Systematic_variance_2,Default,0.5,4,2,0.162,57,9
Systematic_variance_2,Default,0.5,4,2,0.162,58,7
Systematic_variance_2,Default,0.5,4,2,0.162,59,8
Systematic_variance_2,Default,0.5,4,2,0.162,60,7
Systematic_variance_2,Default,0.5,5,3,0.211,61,3
Systematic_variance_2,Default,0.5,5,3,0.211,62,1
Systematic_variance_2,Default,0.5,5,3,0.211,63,4
Systematic_variance_2,Default,0.5,5,3,0.211,64,7
Systematic_variance_2,Default,0.5,5,3,0.211,65,2
Systematic_variance_2,Default,0.5,5,3,0.211,66,2
Systematic_variance_2,Default,0.5,5,3,0.211,67,3
Systematic_variance_2,Default,0.5,5,3,0.211,68,1
Systematic_variance_2,Default,0.5,5,3,0.211,69,6
Systematic_variance_2,Default,0.5,5,3,0.211,70,2
Systematic_variance_2,Default,0.5,5,3,0.211,71,4
Systematic_variance_2,Default,0.5,5,3,0.211,72,0
Systematic_variance_2,Default,0.5,5,3,0.211,73,3
Systematic_variance_2,Default,0.5,5,3,0.211,74,3
Systematic_variance_2,Default,0.5,5,3,0.211,75,6
Systematic_variance_2,Default,0.5,5,3,0.211,76,5
Systematic_variance_2,Default,0.5,5,3,0.211,77,10
Systematic_variance_2,Default,0.5,5,3,0.211,78,0
Systematic_variance_2,Default,0.5,5,3,0.211,79,3
